"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2009-10","Oct-2009","PC","Percentage","0","Units",,,3.39,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2009-11","Nov-2009","PC","Percentage","0","Units",,,3.4,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2009-12","Dec-2009","PC","Percentage","0","Units",,,3.59,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-01","Jan-2010","PC","Percentage","0","Units",,,3.73,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-02","Feb-2010","PC","Percentage","0","Units",,,3.69,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-03","Mar-2010","PC","Percentage","0","Units",,,3.73,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-04","Apr-2010","PC","Percentage","0","Units",,,3.85,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-05","May-2010","PC","Percentage","0","Units",,,3.42,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-06","Jun-2010","PC","Percentage","0","Units",,,3.2,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-07","Jul-2010","PC","Percentage","0","Units",,,3.01,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-08","Aug-2010","PC","Percentage","0","Units",,,2.7,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-09","Sep-2010","PC","Percentage","0","Units",,,2.65,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-10","Oct-2010","PC","Percentage","0","Units",,,2.54,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-11","Nov-2010","PC","Percentage","0","Units",,,2.76,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2010-12","Dec-2010","PC","Percentage","0","Units",,,3.29,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-01","Jan-2011","PC","Percentage","0","Units",,,3.39,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-02","Feb-2011","PC","Percentage","0","Units",,,3.58,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-03","Mar-2011","PC","Percentage","0","Units",,,3.41,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-04","Apr-2011","PC","Percentage","0","Units",,,3.46,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-05","May-2011","PC","Percentage","0","Units",,,3.17,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-06","Jun-2011","PC","Percentage","0","Units",,,3,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-07","Jul-2011","PC","Percentage","0","Units",,,3,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-08","Aug-2011","PC","Percentage","0","Units",,,2.3,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-09","Sep-2011","PC","Percentage","0","Units",,,1.98,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-10","Oct-2011","PC","Percentage","0","Units",,,2.15,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-11","Nov-2011","PC","Percentage","0","Units",,,2.01,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2011-12","Dec-2011","PC","Percentage","0","Units",,,1.98,,
