Date,Open,High,Low,Close,Adj Close,Volume
"Jan 1, 2001",444.92,582.65,444.92,562.02,561.99,-
"Dec 1, 2000",539.91,606.39,463.78,476.64,476.62,-
"Nov 1, 2000",664.95,688.58,535.41,535.41,535.38,-
"Oct 1, 2000",712.16,712.16,620.74,674.3,674.27,-
"Sep 1, 2000",882.2,882.2,715.78,715.78,715.75,-
"Aug 1, 2000",775.81,880.71,769.76,880.71,880.67,-
"Jul 1, 2000",839.32,887.77,772.8,792.1,792.06,-
"Jun 1, 2000",782.39,873.0,782.39,831.85,831.81,-
"May 1, 2000",845.37,845.37,693.71,746.2,746.16,-
"Apr 1, 2000",874.25,924.95,726.16,833.68,833.64,-
"Mar 1, 2000",857.32,988.49,857.32,916.71,916.67,-
"Feb 1, 2000",764.92,849.56,764.92,845.94,845.9,-
"Jan 1, 2000",829.18,829.18,726.4,745.4,745.36,-
"Dec 1, 1999",686.93,807.44,686.93,807.44,807.4,-
"Nov 1, 1999",605.76,701.57,605.76,673.12,673.09,-
"Oct 1, 1999",592.26,616.16,552.71,605.0,604.97,-
"Sep 1, 1999",598.88,632.62,590.44,594.47,594.44,-
"Aug 1, 1999",561.98,610.41,543.6,597.16,597.13,-
"Jul 1, 1999",574.51,621.75,554.57,562.7,562.67,-
"Jun 1, 1999",492.46,566.61,492.46,566.61,566.58,-
"May 1, 1999",514.2,532.19,487.59,506.62,506.6,-
"Apr 1, 1999",516.09,545.3,466.28,513.17,513.15,-
"Mar 1, 1999",464.88,512.72,453.45,507.55,507.53,-
"Feb 1, 1999",529.33,529.33,463.4,465.45,465.43,-
"Jan 1, 1999",458.06,530.69,458.06,530.69,530.66,-
"Dec 1, 1998",412.79,459.6,400.8,452.51,452.49,-
"Nov 1, 1998",358.26,409.49,354.18,394.69,394.67,-
"Oct 1, 1998",315.64,354.04,283.36,354.04,354.02,-
"Sep 1, 1998",311.59,346.86,307.53,331.83,331.81,-
"Aug 1, 1998",349.09,357.46,293.0,293.0,292.99,-
"Jul 1, 1998",339.59,370.41,332.65,350.48,350.46,-
"Jun 1, 1998",299.0,337.35,298.35,335.89,335.87,-
"May 1, 1998",328.37,334.79,305.93,305.93,305.92,-
"Apr 1, 1998",312.01,332.36,299.02,326.59,326.57,-
"Mar 1, 1998",299.42,309.47,281.51,309.47,309.46,-
"Feb 1, 1998",283.55,307.36,283.55,304.83,304.82,-
"Jan 1, 1998",261.34,276.15,247.63,276.15,276.14,-
"Dec 1, 1997",280.94,280.94,241.77,254.73,254.72,-
"Nov 1, 1997",274.07,275.26,252.82,272.01,272.0,-
"Oct 1, 1997",292.0,302.34,253.07,265.49,265.48,-
"Sep 1, 1997",292.37,298.7,279.88,292.44,292.43,-
"Aug 1, 1997",293.33,302.91,282.91,283.34,283.33,-
